key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_AKTKCT303_04804_SEQ_00","<hex:024804F201F603><hex:024904F201F703>특수 규칙： 직업 고정<hex:0249020103><hex:0248020103><hex:02100103>중용의 공예관 앞에 있는 초라 조이는 '모웬 도구'의 최고의 개량을 시작하고 싶은 듯하다."
1,"TEXT_AKTKCT303_04804_SEQ_01","※ 이 퀘스트에는 <hex:024804F201F603><hex:024904F201F703> 직업 고정<hex:0249020103><hex:0248020103>이 적용됩니다.<hex:02100103>   퀘스트 수락 시의 직업으로만 퀘스트를 진행할 수 있습니다.<hex:02100103><hex:02100103>'모웬 도구'의 개량에 필요한 재료는 중용의 공예관 앞에 있는 '키나나'에게 거래 자본을 건네면 교환해준다고 한다. 또한 채집가의 경우, 거래 자본을 정제해도 얻을 수 있다고 한다. 중용의 공예관 앞에 있는 '초라 조이'에게 소지품 또는 장비함에 있는 '모웬 도구'와 재료를 주고 최종 단계로 개량해 달라고 하자."
2,"TEXT_AKTKCT303_04804_SEQ_02","'모웬 도구'가 드디어 완성되었다. 모웬 도구를 원하는 모든 장인들에게 전해질 수 있도록 그레놀트와 초라 조이의 '작업장'은 계속될 것이라고 한다. 앞으로도 그들과 함께 도구 제작에 힘쓰는 것도 괜찮을 것 같다."
3,"TEXT_AKTKCT303_04804_SEQ_03",""
4,"TEXT_AKTKCT303_04804_SEQ_04",""
5,"TEXT_AKTKCT303_04804_SEQ_05",""
6,"TEXT_AKTKCT303_04804_SEQ_06",""
7,"TEXT_AKTKCT303_04804_SEQ_07",""
8,"TEXT_AKTKCT303_04804_SEQ_08",""
9,"TEXT_AKTKCT303_04804_SEQ_09",""
10,"TEXT_AKTKCT303_04804_SEQ_10",""
11,"TEXT_AKTKCT303_04804_SEQ_11",""
12,"TEXT_AKTKCT303_04804_SEQ_12",""
13,"TEXT_AKTKCT303_04804_SEQ_13",""
14,"TEXT_AKTKCT303_04804_SEQ_14",""
15,"TEXT_AKTKCT303_04804_SEQ_15",""
16,"TEXT_AKTKCT303_04804_SEQ_16",""
17,"TEXT_AKTKCT303_04804_SEQ_17",""
18,"TEXT_AKTKCT303_04804_SEQ_18",""
19,"TEXT_AKTKCT303_04804_SEQ_19",""
20,"TEXT_AKTKCT303_04804_SEQ_20",""
21,"TEXT_AKTKCT303_04804_SEQ_21",""
22,"TEXT_AKTKCT303_04804_SEQ_22",""
23,"TEXT_AKTKCT303_04804_SEQ_23",""
