key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_001","Haven't seen you around before... Ahem. If you've yet to speak to Searchingway, I suggest you rectify that posthaste."
1,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_016","Welcome to Phaenna. If you've yet to speak to Searchingway, I suggest you rectify that posthaste."
2,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_017","I bid you welcome to Oizys. Be sure to speak with Searchingway if you've yet to do so."
3,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_002","Welcome to the interplanetary research station, where we analyze exploration data and develop new tools for the betterment of the initiative."
4,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_003","If you would like to take part in our research, it's simple: complete stellar missions to fill up your dataset, then report back."
5,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_004","Our cosmic tools are still prototypes for now, but the more data you bring in for analysis, the more we'll be able to improve them."
6,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_100_005","Check your exotablet─all the details are there!"
7,"TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_100_006","You may now participate in cosmic research. Progress is displayed on your exotablet under Cosmic Research."
8,"TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_100_007","For more detailed information, check the Exploration Guide."
9,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_005","Welcome to the interplanetary research station! I'd be happy to help you with data reporting, cosmic tools, or whatever else you may need."
10,"TEXT_CTSWKSSDGATTENDANT_00920_Q1_000_000","What will you do?"
11,"TEXT_CTSWKSSDGATTENDANT_00920_A1_000_001","Report research data."
12,"TEXT_CTSWKSSDGATTENDANT_00920_A1_000_002","Inquire about cosmic tools."
13,"TEXT_CTSWKSSDGATTENDANT_00920_A1_000_003","Small talk."
14,"TEXT_CTSWKSSDGATTENDANT_00920_A1_000_004","Nothing."
15,"TEXT_CTSWKSSDGATTENDANT_00920_A1_000_005","Purchase a cosmic tool replica."
16,"TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_000_001","Which research would you like to report?"
17,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_006","I'm afraid we've finished work on that dataset. Have you considered broadening your horizons?"
18,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_007","You can do better than that, surely? Go and complete more stellar missions. I can't work with anything less than a full dataset. "
19,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_014","...And before you say “that's too vague,” all the exact figures you could want are right there on your exotablet."
20,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_015","I realize it's a lot of work, but just think of what you'll gain in return: my boundless appreciation! And a cosmic tool, I suppose."
21,"TEXT_CTSWKSSDGATTENDANT_00920_EXCHANGE_CONFIRM","Report <hex:022816FF11>WKSCosmoToolName<hex:E8020103> and have your <hex:02310CFF05>Item<hex:04E803020203> enhanced?<hex:02100103><hex:02100103><hex:02086CE1E80401FF01><hex:FF64><hex:024804F201FC03><hex:024904F201FD03>Upon enhancement, level requirement may exceed current character level.<hex:0249020103><hex:0248020103><hex:02100103><hex:03><hex:024804F201FA03><hex:024904F201FB03>Spiritbond will be reset to 0% and any affixed materia will be lost.<hex:0249020103><hex:0248020103>"
22,"TEXT_CTSWKSSDGATTENDANT_00920_EXCHANGE_CONFIRM_CHECKBOX","Report research data."
23,"TEXT_CTSWKSSDGATTENDANT_00920_GIVE_CONFIRM","Report <hex:022816FF11>WKSCosmoToolName<hex:E8020103> and obtain the corresponding cosmic tool?<hex:02100103><hex:020857E1E80301FF01><hex:FF4F><hex:024804F201FC03><hex:024904F201FD03>Level requirement exceeds current character level.<hex:0249020103><hex:0248020103><hex:02100103><hex:03>"
24,"TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_000_002","Unable to obtain item. Insufficient inventory space."
25,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_100_007","Your <hex:02310CFF05>Item<hex:04E802020203>? I'll need to wait until you've finished using it."
26,"TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_000_006","Unable to complete trade. The selected gear is currently equipped."
27,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_008","With your help, the <hex:022816FF11>WKSCosmoToolName<hex:E8020103> is now complete!<hex:02100103><hex:02100103><hex:02100103><hex:02100103>Oh! Right. <hex:021A020203>Ahem<hex:021A020103>... And be sure to try out your newly enhanced cosmic tool!"
28,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_009","Not to interrupt your report, but with all the data you've gathered, we may be on the cusp of a breakthrough..."
29,"TEXT_CTSWKSSDGATTENDANT_00920_CONTINUE_UPDATE_CONFIRM_CHECKBOX","Continue reporting research data?"
30,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_010","With your help, we've officially reached a new stage of research, and you know what that means: we're in need of all-new data! Check your exotablet for the details."
31,"TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_000_004","Your current research level has earned you a new cosmic tool. Which would you like to receive?"
32,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_013","Keep in mind that this tool reflects the current stage of our research. I eagerly await your next report!"
33,"TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_000_005","Nothing."
34,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_011","Ahem! You already have that one, remember?"
35,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_012","If you want to upgrade a cosmic tool, you'll need to bring me data, and lots of it. Your exotablet has all the relevant details."
36,"TEXT_CTSWKSSDGATTENDANT_00920_CLASS_NAME","<hex:022B14FF12><hex:02280EFF09>ClassJob<hex:E8020103><hex:03>."
37,"TEXT_CTSWKSSDGATTENDANT_00920_SCANNINGWAY_000_001",""
38,"TEXT_CTSWKSSDGATTENDANT_00920_SCANNINGWAY_000_002",""
39,"TEXT_CTSWKSSDGATTENDANT_00920_SCANNINGWAY_000_003",""
40,"TEXT_CTSWKSSDGATTENDANT_00920_SCANNINGWAY_000_004",""
41,"TEXT_CTSWKSSDGATTENDANT_00920_SCANNINGWAY_000_005",""
42,"TEXT_CTSWKSSDGATTENDANT_00920_SCANNINGWAY_000_006",""
43,"TEXT_CTSWKSSDGATTENDANT_00920_SCANNINGWAY_000_007",""
44,"TEXT_CTSWKSSDGATTENDANT_00920_SCANNINGWAY_000_008",""
45,"TEXT_CTSWKSSDGATTENDANT_00920_SCANNINGWAY_000_009",""
46,"TEXT_CTSWKSSDGATTENDANT_00920_SCANNINGWAY_000_010",""
47,"TEXT_CTSWKSSDGATTENDANT_00920_SCANNINGWAY_000_011",""
48,"TEXT_CTSWKSSDGATTENDANT_00920_RESULT",""
