key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_STMBDZ004_02638_SEQ_00","랄거의 손길에 있는 불꽃지킴이족 투사는 필사적으로 뭔가를 찾고 있는 모양이다."
1,"TEXT_STMBDZ004_02638_SEQ_01",""
2,"TEXT_STMBDZ004_02638_SEQ_02",""
3,"TEXT_STMBDZ004_02638_SEQ_03",""
4,"TEXT_STMBDZ004_02638_SEQ_04",""
5,"TEXT_STMBDZ004_02638_SEQ_05",""
6,"TEXT_STMBDZ004_02638_SEQ_06",""
7,"TEXT_STMBDZ004_02638_SEQ_07",""
8,"TEXT_STMBDZ004_02638_SEQ_08",""
9,"TEXT_STMBDZ004_02638_SEQ_09",""
10,"TEXT_STMBDZ004_02638_SEQ_10",""
11,"TEXT_STMBDZ004_02638_SEQ_11",""
12,"TEXT_STMBDZ004_02638_SEQ_12",""
13,"TEXT_STMBDZ004_02638_SEQ_13",""
14,"TEXT_STMBDZ004_02638_SEQ_14",""
15,"TEXT_STMBDZ004_02638_SEQ_15",""
16,"TEXT_STMBDZ004_02638_SEQ_16",""
17,"TEXT_STMBDZ004_02638_SEQ_17",""
18,"TEXT_STMBDZ004_02638_SEQ_18",""
19,"TEXT_STMBDZ004_02638_SEQ_19",""
20,"TEXT_STMBDZ004_02638_SEQ_20",""
21,"TEXT_STMBDZ004_02638_SEQ_21",""
22,"TEXT_STMBDZ004_02638_SEQ_22",""
23,"TEXT_STMBDZ004_02638_SEQ_23",""
24,"TEXT_STMBDZ004_02638_TODO_00","<hex:022811FF0A>EventItem<hex:F61E8D9E0103> 찾기"
25,"TEXT_STMBDZ004_02638_TODO_01","불꽃지킴이족 투사에게 <hex:022811FF0A>EventItem<hex:F61E8D9E0103> 전달"
26,"TEXT_STMBDZ004_02638_TODO_02",""
27,"TEXT_STMBDZ004_02638_TODO_03",""
28,"TEXT_STMBDZ004_02638_TODO_04",""
29,"TEXT_STMBDZ004_02638_TODO_05",""
30,"TEXT_STMBDZ004_02638_TODO_06",""
31,"TEXT_STMBDZ004_02638_TODO_07",""
32,"TEXT_STMBDZ004_02638_TODO_08",""
33,"TEXT_STMBDZ004_02638_TODO_09",""
34,"TEXT_STMBDZ004_02638_TODO_10",""
35,"TEXT_STMBDZ004_02638_TODO_11",""
36,"TEXT_STMBDZ004_02638_TODO_12",""
37,"TEXT_STMBDZ004_02638_TODO_13",""
38,"TEXT_STMBDZ004_02638_TODO_14",""
39,"TEXT_STMBDZ004_02638_TODO_15",""
40,"TEXT_STMBDZ004_02638_TODO_16",""
41,"TEXT_STMBDZ004_02638_TODO_17",""
42,"TEXT_STMBDZ004_02638_TODO_18",""
43,"TEXT_STMBDZ004_02638_TODO_19",""
44,"TEXT_STMBDZ004_02638_TODO_20",""
45,"TEXT_STMBDZ004_02638_TODO_21",""
46,"TEXT_STMBDZ004_02638_TODO_22",""
47,"TEXT_STMBDZ004_02638_TODO_23",""
48,"TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_000","젠장…… 어딜 간 거야!?<hex:02100103>어쩌다 잃어버린 거지! 미치겠네……!"
49,"TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_001","뭐야, 당신…… 도와주겠다고?<hex:02100103>그럼 '<hex:022811FF0A>EventItem<hex:F61E8D9E0103>'<hex:020D21FF15022811FF0A4576656E744974656DF61E8D9E0103FF04EBA5BCFF04EC9D8403> 같이 좀 찾아줘!"
50,"TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_002","오늘 아침까지는 분명히 가지고 있었거든.<hex:02100103>랄거의 손길 밖으로는 나간 적이 없으니까<hex:02100103>어딘가 떨어져 있을 것 같은데……."
51,"TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_003","미안하지만 당신은 성도산 사원 입구 쪽을 찾아봐 줘.<hex:02100103>나는 사령부 천막 주변을 한 번 더 보고 올 테니까."
52,"TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_004","나한테 정말 소중한 거라서 그래.<hex:02100103>설마 없어진 건 아니겠지…… 꼭 좀 부탁한다!"
53,"TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_005","성도산 사원 입구 쪽에<hex:02100103>'<hex:022811FF0A>EventItem<hex:F61E8D9E0103>'<hex:020D21FF15022811FF0A4576656E744974656DF61E8D9E0103FF04EAB080FF04EC9DB403> 떨어져있는지 찾아봐 줘.<hex:02100103>설마 없어진 건 아니겠지…… 꼭 좀 부탁한다!"
54,"TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_010","휴우…… 아무리 찾아도 없네…….<hex:02100103>그쪽은 어땠어?"
55,"TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_011","오오오오!<hex:02100103>이쪽 문양이 약간 지워진 걸 보니 내 부적이 맞아!<hex:02100103>진짜 고마워, <hex:020816E905FF0A>아가씨<hex:FF07>형씨<hex:03>!"
56,"TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_012","이건 내가 태어나기 전에 어머니가 날 위해<hex:02100103>성도산 사원에 참배하러 와서 얻은 거야.<hex:02100103>그 당시에는 여기도 참배객으로 북적댔다고 하더라고."
57,"TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_013","하지만 폐왕 테오도리크의 손에 사원이 불타 소실되고,<hex:02100103>제국 침공으로 종교 탄압이 시작되면서 성도교는 몰락했지."
58,"TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_014","흥, 아무리 탄압해도 내 마음까지 바꿀 순 없을걸!<hex:02100103>나 역시 언젠가 내 아이의 가호를 바라며 부적을 쥐어줄 거니까!<hex:02100103>그런 소박한 신앙을 지키기 위해…… 최선을 다해 싸울 거다!"
59,"TEXT_STMBDZ004_02638_ALPHINAUD_000_020","그쪽 일 돕는 건 다 끝났나?"
